,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1404,2020,MI,FT,Data Scientist,3000000.0,INR,40481.0,IN,0,IN,L
1407,2020,EN,FT,Data Scientist,35000.0,EUR,39916.0,FR,0,FR,M
1410,2021,MI,FT,Data Scientist,76760.0,EUR,90734.0,DE,50,DE,L
1412,2021,MI,FT,Data Scientist,420000.0,INR,5679.0,IN,100,US,S
1414,2021,MI,FT,Data Scientist,30400000.0,CLP,40038.0,CL,100,CL,L
1416,2021,MI,FT,Data Scientist,52000.0,EUR,61467.0,DE,50,AT,M
1418,2021,MI,FT,Data Scientist,32000.0,EUR,37825.0,ES,100,ES,L
1420,2021,EX,CT,Principal Data Scientist,416000.0,USD,416000.0,US,100,US,S
1422,2021,MI,FT,Data Scientist,40900.0,GBP,56256.0,GB,50,GB,L
1423,2021,MI,FT,Data Scientist,2500000.0,INR,33808.0,IN,0,IN,M
1424,2021,MI,FT,Data Scientist,85000.0,GBP,116914.0,GB,50,GB,L
1433,2021,MI,FT,Data Scientist,75000.0,EUR,88654.0,DE,50,DE,L
1445,2021,MI,FT,Data Scientist,160000.0,USD,160000.0,US,100,US,L
1448,2021,MI,FT,Data Scientist,69600.0,BRL,12901.0,BR,0,BR,S
1451,2020,MI,FT,Data Scientist,37000.0,EUR,42197.0,FR,50,FR,S
1453,2020,EN,FT,Data Scientist,55000.0,EUR,62726.0,DE,50,DE,S
1454,2021,MI,FT,Data Scientist,76760.0,EUR,90734.0,DE,50,DE,L
1455,2020,EN,PT,Data Scientist,19000.0,EUR,21669.0,IT,50,IT,S
1458,2020,SE,FT,Data Scientist,120000.0,USD,120000.0,US,50,US,L
1459,2021,SE,FT,Data Scientist,110000.0,CAD,87738.0,CA,100,CA,S
1467,2021,MI,FT,Data Scientist,130000.0,USD,130000.0,US,50,US,L
1470,2021,SE,FT,Principal Data Scientist,147000.0,EUR,173762.0,DE,100,DE,M
1471,2020,SE,FT,Principal Data Scientist,130000.0,EUR,148261.0,DE,100,DE,M
1472,2020,MI,FT,Data Scientist,34000.0,EUR,38776.0,ES,100,ES,M
1473,2021,MI,FT,Data Scientist,39600.0,EUR,46809.0,ES,100,ES,M
1475,2020,SE,FT,Data Scientist,80000.0,EUR,91237.0,AT,0,AT,S
1476,2020,MI,FT,Data Scientist,55000.0,EUR,62726.0,FR,50,LU,S
1477,2021,MI,FT,Data Scientist,115000.0,USD,115000.0,US,50,US,L
1478,2021,SE,FT,Principal Data Scientist,235000.0,USD,235000.0,US,100,US,L
1483,2021,MI,FT,Data Scientist,73000.0,USD,73000.0,US,0,US,L
1486,2020,MI,FT,Data Scientist,118000.0,USD,118000.0,US,100,US,M
1487,2020,MI,FT,Data Scientist,138350.0,USD,138350.0,US,100,US,M
1491,2021,MI,FT,Data Scientist,160000.0,SGD,119059.0,SG,100,IL,M
1495,2020,SE,FT,Data Scientist,412000.0,USD,412000.0,US,100,US,L
1496,2021,MI,FT,Principal Data Scientist,151000.0,USD,151000.0,US,100,US,L
1497,2020,EN,FT,Data Scientist,105000.0,USD,105000.0,US,100,US,S
